id_samples	Names_rep	input	filtered	denoisedF	denoisedR	merged
1_S16R_1	Cycle1_1	267289	206296	201461	204477	176928
1_S16R_2	Cycle1_2	265748	204270	198269	201934	168540
1_S16R_3	Cycle1_3	272724	213048	208035	211237	183382
1_S16R_4	Cycle1_4	282141	222705	217805	221035	190695
2_S16R_1	Cycle2_1	248277	190400	186690	189173	172974
2_S16R_2	Cycle2_2	251614	193669	189501	192190	171889
2_S16R_3	Cycle2_3	244836	188346	183040	186824	163492
2_S16R_4	Cycle2_4	272649	215367	213424	214390	206557
3_S16R_1	Cycle3_1	76409	59103	58941	59046	58390
3_S16R_2	Cycle3_2	281204	220367	220006	220050	217978
3_S16R_3	Cycle3_3	239750	188716	188426	188430	186933
3_S16R_4	Cycle3_4	225119	175708	175235	175324	173456
4_S16R_1	Cycle4_1	207685	160974	160140	160492	157166
4_S16R_2	Cycle4_2	207140	161862	158696	160667	147605
4_S16R_3	Cycle4_3	224058	175131	172601	174185	164072
4_S16R_4	Cycle4_4	217528	170139	168642	169476	163975
5_S16R_1	Cycle5_1	238271	196779	191620	195322	174759
5_S16R_2	Cycle5_2	222769	186480	182064	185078	167085
5_S16R_3	Cycle5_3	238613	199796	194853	198377	178008
5_S16R_4	Cycle5_4	235854	197222	193455	196047	181491
6_S16R_1	Cycle6_1	210094	175712	170504	174237	153740
6_S16R_2	Cycle6_2	203522	171411	166743	170145	151799
6_S16R_3	Cycle6_3	205763	172434	167963	171186	153752
6_S16R_4	Cycle6_4	213645	180948	177108	179658	162900
Recov_S16R_1	Recovered_1	214673	178716	175909	177676	165387
Recov_S16R_2	Recovered_2	236295	198761	194792	197381	179100
Recov_S16R_3	Recovered_3	225211	190305	186141	188788	169904
Recov_S16R_4	Recovered_4	231913	197923	194023	196660	179004
S16_1	Soil_1	226244	176278	138707	164441	102440
S16_2	Soil_2	187555	144111	107918	132006	77792
S16_3	Soil_3	190262	150081	113550	137906	81385
S16_4	Soil_4	150553	115760	83803	103907	57266
SW_S16_2	SoilWash_1	266729	197923	165649	186434	123313
SW_S16_3	SoilWash_2	241412	181345	149001	169600	106950
SW_S16_4	SoilWash_3	258046	193231	160895	182066	119211
SW_S16_5	SoilWash_4	249342	187357	153518	175238	111052
WE1_1	STB_1	242598	196310	195227	195841	190302
WE2_2	STB_2	224716	183143	182620	182836	180324
WE3_1	STB_3	226593	183020	182732	182849	180466
WE4_2	STB_4	222282	183465	182627	183079	179055
