baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.name	Group	gene.group	KEGGFUN	KEGGPATH.PathLv1	KEGGPATH.PathLv2	KEGGPATH.PathLv3	condition	diffabundant
4066.137592	3.619203903	0.114357162	31.64824869	8.02E-220	9.36E-219	alg8	Biofilm formation	alg	mannuronan synthase [EC:2.4.1.33]	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism 	1_Soil_vs_RhizCom	RhizCom
1639.71615	3.696032937	0.208893391	17.69339339	4.71E-70	1.80E-69	algE	Biofilm formation	alg	alginate production protein	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters	1_Soil_vs_RhizCom	RhizCom
751.4623579	3.147419759	0.239305161	13.15232714	1.65E-39	4.52E-39	algF	Biofilm formation	alg	alginate O-acetyltransferase complex protein AlgF	Not Included in Pathway or Brite	Unclassified: metabolism	Glycan metabolism	1_Soil_vs_RhizCom	RhizCom
1512.854856	4.819727383	0.343716898	14.02237542	1.14E-44	3.34E-44	algK	Biofilm formation	alg	alginate biosynthesis protein AlgK	Not Included in Pathway or Brite	Unclassified: metabolism	Glycan metabolism	1_Soil_vs_RhizCom	RhizCom
3268.989524	4.184189505	0.133778256	31.27705234	9.57E-215	1.08E-213	algX	Biofilm formation	alg	alginate biosynthesis protein AlgX	Not Included in Pathway or Brite	Unclassified: metabolism	Glycan metabolism	1_Soil_vs_RhizCom	RhizCom
153.0112989	10.19605285	1.221987453	8.343827776	7.19E-17	1.28E-16	amsC	Biofilm formation	ams	amylovoran biosynthesis protein AmsC	Not Included in Pathway or Brite	Unclassified: metabolism	Glycan metabolism	1_Soil_vs_RhizCom	RhizCom
694.5014818	12.37850986	1.213475548	10.20087293	1.96E-24	4.21E-24	amsF	Biofilm formation	ams	amylovoran biosynthesis protein AmsF	Not Included in Pathway or Brite	Unclassified: metabolism	Glycan metabolism	1_Soil_vs_RhizCom	RhizCom
986.5100477	4.242611429	0.24754984	17.13841312	7.67E-66	2.80E-65	amsG	Biofilm formation	ams	UDP-galactose-lipid carrier transferase	Not Included in Pathway or Brite	Unclassified: metabolism	Glycan metabolism	1_Soil_vs_RhizCom	RhizCom
215.0767791	10.68732049	1.225836126	8.718392498	2.82E-18	5.22E-18	amsL	Biofilm formation	ams	exopolysaccharide (amylovoran) exporter	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters	1_Soil_vs_RhizCom	RhizCom
8852.208322	4.316196318	0.183881839	23.47266229	7.76E-122	4.71E-121	aotJ	Amino acid metabolism and transport	aot	arginine/ornithine transport system substrate-binding protein	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
6807.347014	5.002928926	0.13484265	37.10197732	2.61E-301	4.76E-300	aotM	Amino acid metabolism and transport	aot	arginine/ornithine transport system permease protein	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
6998.660567	4.015097582	0.152433442	26.34000465	6.68E-153	5.16E-152	aotP	Amino acid metabolism and transport	aot	arginine/ornithine transport system ATP-binding protein [EC:7.4.2.1]	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
5753.357981	5.17800867	0.168150411	30.79391037	3.16E-208	3.42E-207	aotQ	Amino acid metabolism and transport	aot	arginine/ornithine transport system permease protein	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
