MAG_name	MAG_ID
M001	concoct.100.fa_sub.contigs
M002	concoct.106.fa_sub.contigs
M003	concoct.107.fa_sub.contigs
M004	concoct.140.fa.contigs
M005	concoct.155.fa_sub.contigs
M006	concoct.199.fa_sub.contigs
M007	concoct.207.fa.contigs
M008	concoct.237.fa.contigs
M009	concoct.243.fa.contigs
M010	concoct.43.fa_sub.contigs
M011	concoct.48.fa_sub.contigs
M012	concoct.92.fa_sub.contigs
M013	maxbin.0001.fasta.contigs
M014	maxbin.0002.fasta.contigs
M015	maxbin.0004.fasta.contigs
M016	maxbin.0005.fasta.contigs
M017	maxbin.0009.fasta.contigs
M018	maxbin.0016.fasta.contigs
M019	maxbin.0018.fasta.contigs
M020	maxbin.0019.fasta.contigs
M021	maxbin.0024.fasta.contigs
M022	maxbin.0025.fasta_sub.contigs
M023	maxbin.0030.fasta.contigs
M024	maxbin.0037.fasta.contigs
M025	maxbin.0039.fasta.contigs
M026	maxbin.0041.fasta.contigs
M027	maxbin.0042.fasta.contigs
M028	maxbin.0043.fasta.contigs
M029	maxbin.0047.fasta.contigs
M030	maxbin.0049.fasta.contigs
M031	maxbin.0056.fasta.contigs
M032	maxbin.0061.fasta.contigs
M033	maxbin.0070.fasta_sub.contigs
M034	maxbin.0078.fasta.contigs
M035	maxbin.0085.fasta_sub.contigs
M036	maxbin.0096.fasta.contigs
M037	maxbin.0098.fasta_sub.contigs
M038	maxbin.0101.fasta_sub.contigs
M039	maxbin.0107.fasta.contigs
M040	maxbin.0118.fasta.contigs
M041	maxbin.0130.fasta_sub.contigs
M042	maxbin.0141.fasta.contigs
M043	maxbin.0143.fasta.contigs
M044	maxbin.0150.fasta.contigs
M045	maxbin.0151.fasta.contigs
M046	maxbin.0153.fasta.contigs
M047	maxbin.0156.fasta.contigs
M048	maxbin.0175.fasta.contigs
M049	maxbin.0218.fasta_sub.contigs
M050	maxbin.0220.fasta.contigs
M051	maxbin.0230.fasta_sub.contigs
M052	maxbin.0254.fasta_sub.contigs
M053	maxbin.0263.fasta.contigs
M054	maxbin.0274.fasta.contigs
M055	maxbin.0297.fasta.contigs
M056	maxbin.0309.fasta_sub.contigs
M057	maxbin.0311.fasta.contigs
M058	maxbin.0312.fasta.contigs
M059	maxbin.0317.fasta.contigs
M060	maxbin.0330.fasta.contigs
M061	maxbin.0332.fasta.contigs
M062	maxbin.0366.fasta.contigs
M063	maxbin.0373.fasta_sub.contigs
M064	maxbin.0409.fasta_sub.contigs
M065	maxbin.0425.fasta_sub.contigs
M066	maxbin.0490.fasta.contigs
M067	maxbin.0593.fasta_sub.contigs
M068	maxbin.0663.fasta_sub.contigs
M069	metabat2.101.fa_sub.contigs
M070	metabat2.107.fa.contigs
M071	metabat2.109.fa.contigs
M072	metabat2.111.fa.contigs
M073	metabat2.118.fa.contigs
M074	metabat2.123.fa.contigs
M075	metabat2.134.fa.contigs
M076	metabat2.136.fa.contigs
M077	metabat2.148.fa.contigs
M078	metabat2.153.fa_sub.contigs
M079	metabat2.157.fa.contigs
M080	metabat2.162.fa.contigs
M081	metabat2.164.fa.contigs
M082	metabat2.167.fa.contigs
M083	metabat2.171.fa.contigs
M084	metabat2.173.fa_sub.contigs
M085	metabat2.183.fa.contigs
M086	metabat2.187.fa.contigs
M087	metabat2.20.fa_sub.contigs
M088	metabat2.214.fa_sub.contigs
M089	metabat2.219.fa.contigs
M090	metabat2.220.fa_sub.contigs
M091	metabat2.221.fa.contigs
M092	metabat2.225.fa_sub.contigs
M093	metabat2.228.fa.contigs
M094	metabat2.247.fa_sub.contigs
M095	metabat2.254.fa_sub.contigs
M096	metabat2.256.fa.contigs
M097	metabat2.27.fa_sub.contigs
M098	metabat2.279.fa.contigs
M099	metabat2.28.fa_sub.contigs
M100	metabat2.282.fa.contigs
M101	metabat2.290.fa_sub.contigs
M102	metabat2.357.fa.contigs
M103	metabat2.44.fa_sub.contigs
M104	metabat2.49.fa_sub.contigs
M105	metabat2.57.fa_sub.contigs
M106	metabat2.66.fa_sub.contigs
M107	metabat2.87.fa.contigs
M108	metabat2.88.fa.contigs
M109	metabat2.91.fa.contigs
M110	metabat2.99.fa.contigs
