step	sample	order	Sample_name	num_seqs	sum_len
01_raw	STB_1	2	STB_1_R1	56042769	8462458119
01_raw	STB_1	2	STB_1_R2	56042769	8462458119
01_raw	STB_2	2	STB_2_R1	44876715	6776383965
01_raw	STB_2	2	STB_2_R2	44876715	6776383965
01_raw	STB_3	2	STB_3_R1	45552149	6878374499
01_raw	STB_3	2	STB_3_R2	45552149	6878374499
01_raw	RhizCom_1	1	6-S16_1_R1	506658741	76505469891
01_raw	RhizCom_1	1	6-S16_1_R2	506658741	76505469891
01_raw	RhizCom_2	1	6-S16_2_R1	487766217	73652698767
01_raw	RhizCom_2	1	6-S16_2_R2	487766217	73652698767
01_raw	RhizCom_3	1	6-S16_3_R1	570198335	86099948585
01_raw	RhizCom_3	1	6-S16_3_R2	570198335	86099948585
01_raw	Soil_1	3	S16_1_R1	467145122	70538913422
01_raw	Soil_1	3	S16_1_R2	467145122	70538913422
01_raw	Soil_2	3	S16_2_R1	440857482	66569479782
01_raw	Soil_2	3	S16_2_R2	440857482	66569479782
01_raw	Soil_3	3	S16_3_R1	470990516	71119567916
01_raw	Soil_3	3	S16_3_R2	470990516	71119567916
02_filter	STB_1	2	STB_1_R1	53575733	7818922991
02_filter	STB_1	2	STB_1_R2	53575733	7819096319
02_filter	STB_2	2	STB_2_R1	43664600	6472063207
02_filter	STB_2	2	STB_2_R2	43664600	6472129046
02_filter	STB_3	2	STB_3_R1	44360657	6579599234
02_filter	STB_3	2	STB_3_R2	44360657	6579680985
02_filter	RhizCom_1	1	6-S16_1_R1	496717518	74001507113
02_filter	RhizCom_1	1	6-S16_1_R2	496717518	74001094334
02_filter	RhizCom_2	1	6-S16_2_R1	470917789	69132510532
02_filter	RhizCom_2	1	6-S16_2_R2	470917789	69133053104
02_filter	RhizCom_3	1	6-S16_3_R1	553252648	81206911757
02_filter	RhizCom_3	1	6-S16_3_R2	553252648	81207851397
02_filter	Soil_1	3	S16_1_R1	461204607	69468671571
02_filter	Soil_1	3	S16_1_R2	461204607	69468366211
02_filter	Soil_2	3	S16_2_R1	435067760	65523365846
02_filter	Soil_2	3	S16_2_R2	435067760	65571609433
02_filter	Soil_3	3	S16_3_R1	464896018	70035514379
02_filter	Soil_3	3	S16_3_R2	464896018	70034554113
03_noHost	STB_1	2	STB_1_R1	38513325	5661785700
03_noHost	STB_1	2	STB_1_R2	38513325	5661821170
03_noHost	STB_2	2	STB_2_R1	32895850	4897473992
03_noHost	STB_2	2	STB_2_R2	32895850	4897482081
03_noHost	STB_3	2	STB_3_R1	34501045	5140706886
03_noHost	STB_3	2	STB_3_R2	34501045	5140728034
03_noHost	RhizCom_1	1	6-S16_1_R1	470191969	70096172509
03_noHost	RhizCom_1	1	6-S16_1_R2	470191969	70095719546
03_noHost	RhizCom_2	1	6-S16_2_R1	406718394	59851216785
03_noHost	RhizCom_2	1	6-S16_2_R2	406718394	59851351417
03_noHost	RhizCom_3	1	6-S16_3_R1	489377731	71964684924
03_noHost	RhizCom_3	1	6-S16_3_R2	489377731	71965197640
03_noHost	Soil_1	3	S16_1_R1	461131661	69458512485
03_noHost	Soil_1	3	S16_1_R2	461131661	69458343081
03_noHost	Soil_2	3	S16_2_R1	435002964	65514383825
03_noHost	Soil_2	3	S16_2_R2	435002964	65513858127
03_noHost	Soil_3	3	S16_3_R1	464828869	70026131564
03_noHost	Soil_3	3	S16_3_R2	464828869	70025312680
04_Norm1	STB_1	2	STB_1_R1	16340686	2402589783
04_Norm1	STB_1	2	STB_1_R2	16340686	2402608075
04_Norm1	STB_2	2	STB_2_R1	17151540	2555125605
04_Norm1	STB_2	2	STB_2_R2	17151540	2555126322
04_Norm1	STB_3	2	STB_3_R1	12290866	1831500291
04_Norm1	STB_3	2	STB_3_R2	12290866	1831490601
04_Norm1	RhizCom_1	1	6-S16_1_R1	150694889	22474486786
04_Norm1	RhizCom_1	1	6-S16_1_R2	150694889	22474178004
04_Norm1	RhizCom_2	1	6-S16_2_R1	148242096	21829067882
04_Norm1	RhizCom_2	1	6-S16_2_R2	148242096	21828925636
04_Norm1	RhizCom_3	1	6-S16_3_R1	156351293	23005454942
04_Norm1	RhizCom_3	1	6-S16_3_R2	156351293	23005466954
04_Norm1	Soil_1	3	S16_1_R1	298958587	45030747334
04_Norm1	Soil_1	3	S16_1_R2	298958587	45030643557
04_Norm1	Soil_2	3	S16_2_R1	298937613	45022251165
04_Norm1	Soil_2	3	S16_2_R2	298937613	45021901384
04_Norm1	Soil_3	3	S16_3_R1	298502360	44968890575
04_Norm1	Soil_3	3	S16_3_R2	298502360	44968365641
05_Norm2	STB	2	STB_R1	23388331	3468124131
05_Norm2	STB	2	STB_R2	23388331	3468191865
05_Norm2	RhizCom	1	6-S16_R1	268933344	39782732570
05_Norm2	RhizCom	1	6-S16_R2	268933344	39783220755
05_Norm2	Soil	3	S16_R1	678582465	102238200943
05_Norm2	Soil	3	S16_R2	678582465	102237936113
06_Binn	SoilHigh	1	S16_R1_binnHIGH	94495056	14233855956
06_Binn	SoilHigh	1	S16_R2_binnHIGH	94495056	14233586435
06_Binn	SoilMID	2	S16_R1_binnMED	239030046	36024404868
06_Binn	SoilMID	2	S16_R2_binnMED	239030046	36024374895
06_Binn	SoilLOW	3	S16_R1_binnLOW	345057363	51979940119
06_Binn	SoilLOW	3	S16_R1_binnLOW	345057363	51979974783
