ID	Soil	replicate	Condition	Environment	order	Cycle	CFUs_g	RGB_col
59	S16	1.1	SoilWash	SoilWash	2	SoilWash	950000	"#e2b3b3"
60	S16	1.2	SoilWash	SoilWash	2	SoilWash	1140000	"#e2b3b3"
61	S16	1.3	SoilWash	SoilWash	2	SoilWash	1120000	"#e2b3b3"
62	S16	1.4	SoilWash	SoilWash	2	SoilWash	1090000	"#e2b3b3"
63	S16	1.5	SoilWash	SoilWash	2	SoilWash	770000	"#e2b3b3"
64	S16	2.1	SoilWash	SoilWash	2	SoilWash	1110000	"#e2b3b3"
65	S16	2.2	SoilWash	SoilWash	2	SoilWash	930000	"#e2b3b3"
66	S16	2.3	SoilWash	SoilWash	2	SoilWash	1190000	"#e2b3b3"
67	S16	2.4	SoilWash	SoilWash	2	SoilWash	1010000	"#e2b3b3"
68	S16	2.5	SoilWash	SoilWash	2	SoilWash	1130000	"#e2b3b3"
69	S16	1.1	SoilWash	SoilWash	2	SoilWash	1100000	"#e2b3b3"
70	S16	1.2	SoilWash	SoilWash	2	SoilWash	800000	"#e2b3b3"
71	S16	1.3	SoilWash	SoilWash	2	SoilWash	800000	"#e2b3b3"
72	S16	1.4	SoilWash	SoilWash	2	SoilWash	1700000	"#e2b3b3"
73	S16	1.5	SoilWash	SoilWash	2	SoilWash	1600000	"#e2b3b3"
74	S16	2.1	SoilWash	SoilWash	2	SoilWash	900000	"#e2b3b3"
75	S16	2.2	SoilWash	SoilWash	2	SoilWash	1400000	"#e2b3b3"
76	S16	2.3	SoilWash	SoilWash	2	SoilWash	1000000	"#e2b3b3"
77	S16	2.4	SoilWash	SoilWash	2	SoilWash	1100000	"#e2b3b3"
78	S16	2.5	SoilWash	SoilWash	2	SoilWash	600000	"#e2b3b3"
79	S16F	1.1	SoilWash	SoilWash	2	SoilWash	60000	"#e2b3b3"
80	S16F	1.2	SoilWash	SoilWash	2	SoilWash	130000	"#e2b3b3"
81	S16F	1.3	SoilWash	SoilWash	2	SoilWash	100000	"#e2b3b3"
82	S16F	1.4	SoilWash	SoilWash	2	SoilWash	60000	"#e2b3b3"
83	S16F	1.5	SoilWash	SoilWash	2	SoilWash	130000	"#e2b3b3"
84	S16F	2.1	SoilWash	SoilWash	2	SoilWash	60000	"#e2b3b3"
85	S16F	2.2	SoilWash	SoilWash	2	SoilWash	90000	"#e2b3b3"
86	S16F	2.3	SoilWash	SoilWash	2	SoilWash	80000	"#e2b3b3"
87	S16F	2.4	SoilWash	SoilWash	2	SoilWash	70000	"#e2b3b3"
88	S16F	2.5	SoilWash	SoilWash	2	SoilWash	160000	"#e2b3b3"
89	S16F	1.1	SoilWash	SoilWash	2	SoilWash	100000	"#e2b3b3"
90	S16F	1.2	SoilWash	SoilWash	2	SoilWash	400000	"#e2b3b3"
91	S16F	1.3	SoilWash	SoilWash	2	SoilWash	300000	"#e2b3b3"
92	S16F	1.4	SoilWash	SoilWash	2	SoilWash	200000	"#e2b3b3"
93	S16F	1.5	SoilWash	SoilWash	2	SoilWash	500000	"#e2b3b3"
94	S16F	2.1	SoilWash	SoilWash	2	SoilWash	100000	"#e2b3b3"
95	S16F	2.2	SoilWash	SoilWash	2	SoilWash	100000	"#e2b3b3"
96	S16F	2.3	SoilWash	SoilWash	2	SoilWash	200000	"#e2b3b3"
97	S16F	2.4	SoilWash	SoilWash	2	SoilWash	300000	"#e2b3b3"
98	S16F	2.5	SoilWash	SoilWash	2	SoilWash	100000	"#e2b3b3"
99	S16	1	SoilWash	SoilWash	2	SoilWash	1540000	"#e2b3b3"
100	S16	2	SoilWash	SoilWash	2	SoilWash	1270000	"#e2b3b3"
101	S16	3	SoilWash	SoilWash	2	SoilWash	1130000	"#e2b3b3"
102	S16	4	SoilWash	SoilWash	2	SoilWash	1250000	"#e2b3b3"
103	S16	1	SoilWash	SoilWash	2	SoilWash	1700000	"#e2b3b3"
104	S16	2	SoilWash	SoilWash	2	SoilWash	1200000	"#e2b3b3"
105	S16	3	SoilWash	SoilWash	2	SoilWash	2100000	"#e2b3b3"
106	S16	4	SoilWash	SoilWash	2	SoilWash	800000	"#e2b3b3"
107	S16F	1	SoilWash	SoilWash	2	SoilWash	560000	"#e2b3b3"
108	S16F	2	SoilWash	SoilWash	2	SoilWash	450000	"#e2b3b3"
109	S16F	3	SoilWash	SoilWash	2	SoilWash	360000	"#e2b3b3"
110	S16F	4	SoilWash	SoilWash	2	SoilWash	350000	"#e2b3b3"
111	S16F	5	SoilWash	SoilWash	2	SoilWash	340000	"#e2b3b3"
112	S16F	1	SoilWash	SoilWash	2	SoilWash	300000	"#e2b3b3"
113	S16F	2	SoilWash	SoilWash	2	SoilWash	200000	"#e2b3b3"
114	S16F	3	SoilWash	SoilWash	2	SoilWash	300000	"#e2b3b3"
115	S16F	4	SoilWash	SoilWash	2	SoilWash	2300000	"#e2b3b3"
116	S16F	5	SoilWash	SoilWash	2	SoilWash	200000	"#e2b3b3"
117	S16	1	Cycle1	Bulk	3	1	1119060.723	"#98b307"
118	S16	1	Cycle1	Bulk	3	1	2201430.93	"#98b307"
119	S16	1	Cycle1	Bulk	3	1	3669051.55	"#98b307"
120	S16	1	Cycle1	Bulk	3	1	1577692.167	"#98b307"
121	S16	1	Cycle1	Bulk	3	1	2017978.353	"#98b307"
122	S16	1	Cycle1	Bulk	3	1	2751788.663	"#98b307"
123	S16	2	Cycle1	Bulk	3	1	1775232.935	"#98b307"
124	S16	2	Cycle1	Bulk	3	1	2052292.411	"#98b307"
125	S16	2	Cycle1	Bulk	3	1	5130731.027	"#98b307"
126	S16	2	Cycle1	Bulk	3	1	1262159.833	"#98b307"
127	S16	2	Cycle1	Bulk	3	1	923531.5848	"#98b307"
128	S16	2	Cycle1	Bulk	3	1	4104584.821	"#98b307"
129	S16	3	Cycle1	Bulk	3	1	572782.935	"#98b307"
130	S16	3	Cycle1	Bulk	3	1	4246494.173	"#98b307"
131	S16	3	Cycle1	Bulk	3	1	987556.7845	"#98b307"
132	S16	3	Cycle1	Bulk	3	1	770294.2919	"#98b307"
133	S16	3	Cycle1	Bulk	3	1	888801.1061	"#98b307"
134	S16	3	Cycle1	Bulk	3	1	1975113.569	"#98b307"
135	S16	4	Cycle1	Bulk	3	1	969213.2269	"#98b307"
136	S16	4	Cycle1	Bulk	3	1	1235271.76	"#98b307"
137	S16	4	Cycle1	Bulk	3	1	950209.046	"#98b307"
138	S16	4	Cycle1	Bulk	3	1	1216267.579	"#98b307"
139	S16	4	Cycle1	Bulk	3	1	1045229.951	"#98b307"
140	S16	4	Cycle1	Bulk	3	1	1900418.092	"#98b307"
141	S16	1	Cycle1	Rhizos	3	1	45649527.56	"#98b307"
142	S16	1	Cycle1	Rhizos	3	1	31882209.73	"#98b307"
143	S16	1	Cycle1	Rhizos	3	1	43475740.54	"#98b307"
144	S16	1	Cycle1	Rhizos	3	1	38548489.94	"#98b307"
145	S16	1	Cycle1	Rhizos	3	1	40577357.83	"#98b307"
146	S16	1	Cycle1	Rhizos	3	1	43475740.54	"#98b307"
147	S16	2	Cycle1	Rhizos	3	1	43166564.98	"#98b307"
148	S16	2	Cycle1	Rhizos	3	1	38133007.93	"#98b307"
149	S16	2	Cycle1	Rhizos	3	1	45759609.52	"#98b307"
150	S16	2	Cycle1	Rhizos	3	1	47284929.84	"#98b307"
151	S16	2	Cycle1	Rhizos	3	1	15253203.17	"#98b307"
152	S16	3	Cycle1	Rhizos	3	1	61223061.85	"#98b307"
153	S16	3	Cycle1	Rhizos	3	1	52476910.16	"#98b307"
154	S16	3	Cycle1	Rhizos	3	1	51952141.06	"#98b307"
155	S16	3	Cycle1	Rhizos	3	1	75216904.56	"#98b307"
156	S16	3	Cycle1	Rhizos	3	1	52476910.16	"#98b307"
157	S16	4	Cycle1	Rhizos	3	1	56518328.34	"#98b307"
158	S16	4	Cycle1	Rhizos	3	1	94494366	"#98b307"
159	S16	4	Cycle1	Rhizos	3	1	35658251.32	"#98b307"
160	S16	4	Cycle1	Rhizos	3	1	17829125.66	"#98b307"
161	S16F	1	Cycle1	Bulk	3	1	695732.8386	"#98b307"
162	S16F	1	Cycle1	Bulk	3	1	1310801	"#98b307"
163	S16F	1	Cycle1	Bulk	3	1	3024925.385	"#98b307"
164	S16F	1	Cycle1	Bulk	3	1	887311.4463	"#98b307"
165	S16F	1	Cycle1	Bulk	3	1	907477.6156	"#98b307"
166	S16F	1	Cycle1	Bulk	3	1	1008308.462	"#98b307"
167	S16F	2	Cycle1	Bulk	3	1	1008271.945	"#98b307"
168	S16F	2	Cycle1	Bulk	3	1	925964.0314	"#98b307"
169	S16F	2	Cycle1	Bulk	3	1	2057697.848	"#98b307"
170	S16F	2	Cycle1	Bulk	3	1	853944.6068	"#98b307"
171	S16F	2	Cycle1	Bulk	3	1	720194.2467	"#98b307"
172	S16F	2	Cycle1	Bulk	3	1	1028848.924	"#98b307"
173	S16F	3	Cycle1	Bulk	3	1	1371858.916	"#98b307"
174	S16F	3	Cycle1	Bulk	3	1	2270663.034	"#98b307"
175	S16F	3	Cycle1	Bulk	3	1	5676657.584	"#98b307"
176	S16F	3	Cycle1	Bulk	3	1	1948985.771	"#98b307"
177	S16F	3	Cycle1	Bulk	3	1	2838328.792	"#98b307"
178	S16F	4	Cycle1	Bulk	3	1	1266473.68	"#98b307"
179	S16F	4	Cycle1	Bulk	3	1	1237906.605	"#98b307"
180	S16F	4	Cycle1	Bulk	3	1	2856707.549	"#98b307"
181	S16F	4	Cycle1	Bulk	3	1	1171250.095	"#98b307"
182	S16F	4	Cycle1	Bulk	3	1	1333130.19	"#98b307"
183	S16F	4	Cycle1	Bulk	3	1	952235.8498	"#98b307"
184	S16F	1	Cycle1	Rhizos	3	1	36241984.95	"#98b307"
185	S16F	1	Cycle1	Rhizos	3	1	29132980.21	"#98b307"
186	S16F	1	Cycle1	Rhizos	3	1	36241984.95	"#98b307"
