sample_name	strain_name	carbon_sour	bio_rep	Experiment	CFUs_mL
Glu_DGS2	DGS2	1_Glucose	Bio1	monoculture	20000000
Glu_DGS4	DGS4	1_Glucose	Bio1	monoculture	700000
Glu_DGS16	DGS16	1_Glucose	Bio1	monoculture	1200000000
Glu_DGS31	DGS31	1_Glucose	Bio1	monoculture	80000000
Glu_SbRB3	SbRB3	1_Glucose	Bio1	monoculture	600000000
Glu_Control	Control	1_Glucose	Bio1	monoculture	0
Fru_DGS2	DGS2	2_Fructose	Bio1	monoculture	140000000
Fru_DGS4	DGS4	2_Fructose	Bio1	monoculture	600000
Fru_DGS16	DGS16	2_Fructose	Bio1	monoculture	360000000
Fru_DGS31	DGS31	2_Fructose	Bio1	monoculture	140000000
Fru_SbRB3	SbRB3	2_Fructose	Bio1	monoculture	1000000000
Fru_Control	Control	2_Fructose	Bio1	monoculture	0
Sucr_DGS2	DGS2	3_Sucrose	Bio1	monoculture	10000000
Sucr_DGS4	DGS4	3_Sucrose	Bio1	monoculture	84000
Sucr_DGS16	DGS16	3_Sucrose	Bio1	monoculture	1600000000
Sucr_DGS31	DGS31	3_Sucrose	Bio1	monoculture	400000000
Sucr_SbRB3	SbRB3	3_Sucrose	Bio1	monoculture	800000000
Sucr_Control	Control	3_Sucrose	Bio1	monoculture	0
Tre_DGS2	DGS2	4_Trehalose	Bio1	monoculture	12000000
Tre_DGS4	DGS4	4_Trehalose	Bio1	monoculture	54000
Tre_DGS16	DGS16	4_Trehalose	Bio1	monoculture	800000
Tre_DGS31	DGS31	4_Trehalose	Bio1	monoculture	100000000
Tre_SbRB3	SbRB3	4_Trehalose	Bio1	monoculture	1000000000
Tre_Control	Control	4_Trehalose	Bio1	monoculture	0
Malt_DGS2	DGS2	5_Maltose	Bio1	monoculture	16000000
Malt_DGS4	DGS4	5_Maltose	Bio1	monoculture	46000
Malt_DGS16	DGS16	5_Maltose	Bio1	monoculture	380000
Malt_DGS31	DGS31	5_Maltose	Bio1	monoculture	140000000
Malt_SbRB3	SbRB3	5_Maltose	Bio1	monoculture	1600000000
Malt_Control	Control	5_Maltose	Bio1	monoculture	0
Cell_DGS2	DGS2	6_Cellobiose	Bio1	monoculture	36000000
Cell_DGS4	DGS4	6_Cellobiose	Bio1	monoculture	70000
Cell_DGS16	DGS16	6_Cellobiose	Bio1	monoculture	280000
Cell_DGS31	DGS31	6_Cellobiose	Bio1	monoculture	200000000
Cell_SbRB3	SbRB3	6_Cellobiose	Bio1	monoculture	540000
Cell_Control	Control	6_Cellobiose	Bio1	monoculture	0
M9_DGS2	DGS2	M9_NoCarbon	Bio1	monoculture	7000000
